id,title,price,domain_id,brand
MLA1159031133,Smart Tv LG Ai Thinq Oled55a1psa Webos 6.0 4k 55  100v/240v,999999.0,MLA-TELEVISIONS,LG
MLA1122529342,Smart Tv Portátil Samsung Series 7 Un55au7000gxug Led Tizen 4k 55  100v/240v,257599.0,MLA-TELEVISIONS,Samsung
MLA1207440588,Smart Tv Noblex Dq50x9500pi Qled 4k 50'' Google Tv,251999.0,MLA-TELEVISIONS,Noblex
MLA1175017722,Tcl P725-series L50p725,180389.0,MLA-TELEVISIONS,TCL
MLA1119750186,Smart Tv 55  Uhd 4k Crystal Hdmi Usb Un55au7000 Samsung,287599.0,MLA-TELEVISIONS,Samsung
MLA1167238862,Televisor Samsung 55  Qled 4k Q65b,433749.0,MLA-TELEVISIONS,Samsung
MLA1431367488,Smart Tv Led LG 75' 75up7760psb 4k Uhd Thinq Ai Hdr10 Pro,509999.0,MLA-TELEVISIONS,LG
MLA1409621588,Smart Tv Samsung 55 Neo Qled 4k Uhd Qn55qn85ba Al Click,699999.0,MLA-TELEVISIONS,Samsung
MLA1184349523,Smart Tv 55 Noblex Dr55x7550 Led Android Google Play,235644.0,MLA-TELEVISIONS,Noblex
MLA1375439264,LG Evo Oled65c2psa,1299000.0,MLA-TELEVISIONS,LG
MLA1361912025,Smart Tv 55 Pulgadas Uled 4k Ultra Hd 55u70g Hisense ,388799.1,MLA-TELEVISIONS,Hisense
MLA927660768,Smart Tv Bgh B5021uh6a 50 Android 4kuhd Netflixyoutubeprime,257064.0,MLA-TELEVISIONS,BGH
MLA1322205896,Smart Tv Philco Pld50hs2250pi Led Hdr 4k 50'',169990.0,MLA-TELEVISIONS,Philco
MLA1421107116,Tv Skyworth 55g3af Frameless Led 4k 55 Pulgadas Sist Android,219799.0,MLA-TELEVISIONS,Skyworth
MLA1411016568,Smart Tv Led De 50 Tcl L50p735 Uhd 4k Google Tv Cts,216518.7,MLA-TELEVISIONS,TCL
MLA1214274372,Smart Tv Bgh B5522us6a Uled 4k 55  220v,325060.0,MLA-TELEVISIONS,BGH
MLA1146563968,43 4k Uhd Smart Tv Android Philips 43pud7407/77 Bluetooth,205809.0,MLA-TELEVISIONS,Philips
MLA1125133615,Samsung Series 7 Qn85q70aag Qn85q70aagxzs,1259999.0,MLA-TELEVISIONS,Samsung
MLA1114306651,Smart Tv Samsung Series 7 Un50au7000gczb Led 4k 50  18,335828.0,MLA-TELEVISIONS,Samsung
